Gueltig ab / valid from 19.05.2025;;;;;;
BIC;Name;SERVICE SCT;SERVICE COR;SERVICE COR1;SERVICE B2B;SERVICE SCC
AGRIFRPP871;CRCAM SUD MEDITERRANEE;1;1;0;1;0
AGRIFRPP872;CREDIT AGRICOLE ALSACE VOSGES;1;1;0;1;0
AGRIFRPP878;CRCAM CENTRE EST;1;1;0;1;0
AGRIFRPP879;CRCAM DE L ANJOU ET DU MAINE;1;1;0;1;0
AGRIFRPP881;CREDIT AGRICOLE DES SAVOIE;1;1;0;1;0
AGRIFRPP882;CRCAM DE PARIS ET ILE DE FRANCE;1;1;0;1;0
AGRIFRPP883;CRCAM DE NORMANDIE SEINE;1;1;0;1;0
AGRIFRPP887;CRCAM BRIE PICARDIE;1;1;0;1;0
AGRIFRPP891;CRCAM PROVENCE COTE D AZUR;1;1;0;1;0
AGRIFRPP894;CRCAM DE LA TOURAINE ET DU POITOU;1;1;0;1;0
AGRIFRPP895;CRCAM CENTRE OUEST;1;1;0;1;0
AGRIFRPP907;CREDIT AGRICOLE TITRES;1;1;0;0;0
AGRIFRP1ACF;CA CONSUMER FINANCE;1;1;0;1;0
AGRIFRP1EFG;CREDIT AGRICOLE LEASING & FACTORING;1;0;0;0;0
AGRIGPGX;CRCAM GUADELOUPE;1;1;0;1;0
AGRILULA;CREDIT AGRICOLE LUXEMBOURG;1;1;0;1;0
AGRIMCM1;CA PROVENCE COTE AZUR MONACO;1;1;0;1;0
AGRIMQMX;CRCAM DE LA MARTINIQUE ET DE LA GUYANE;1;1;0;1;0
AGRIPLPR;CREDIT AGRICOLE BANK POLSKA;1;0;0;0;0
AGRIRERX;CRCAM DE LA REUNION;1;1;0;1;0
AGRKMTMT;AGRIBANK PLC;1;0;0;0;0
AIBKGB2L;ALLIED IRISH BANK GB;1;0;0;0;0
AIBKIE2D;ALLIED IRISH BANKS PLC;1;1;0;0;0
AICUIE21;ST AILBES CREDIT UNION LIMITED;1;1;0;0;0
AIDEITM2;Banca Aidexa SPA;1;1;0;1;0
AIKACH22;APPENZELLER KANTONALBANK;1;0;0;0;0
AINHNL22;Airwallex (Netherlands) B.V.;1;1;0;0;0
AIRACZPP;AIR BANK A.S.;1;0;0;0;0
AKBADES1;AKTIVBANK AKTIENGESELLSCHAFT;1;1;0;1;1
AKBKDEFF;AKBANK AG;1;1;0;0;0
AKFBDE31;AKF BANK GMBH AND CO KG;1;1;0;1;0
AKROITMM;BANCA AKROS SPA;1;0;0;0;0
ALBADKKK;ARBEJDERNES LANDSBANK;1;1;0;1;0
ALBPPLPW;ALIOR BANK SPOLKA AKCYJNA;1;0;0;0;0
ALCLESMM;BANCO ALCALA;1;1;0;1;0
ALCLESMMXXX;Banco Alcal;1;0;0;0;0
ALETITMM;BANCA ALETTI E C. S.P.A.;1;1;0;1;0
ALGAAT21;Oberbank AG;1;0;0;0;0
ALLFESMM;ALLFUNDS BANK;1;1;0;1;0
ALLFESMMXXX;Allfunds Bank;1;0;0;0;0
ALLFITMM;ALLFUNDS BANK SAU MILAN BRANCH;1;1;0;0;0
ALLFLULL;ALLFUNDS BANK SUCURSAL LUXEMBURGO;1;1;0;1;0
ALLFLULLXXX;Allfunds Bank Luxemburgo;1;0;0;0;0
ALOAIT21;ALTO ADIGE BANCA SPA;1;1;0;1;0
ALPEAT22;ALPENBANK AG;1;1;0;0;0
ALSSITM1;ERSEL S.P.A.;1;0;0;0;0
ALSSITM2;ERSEL S.P.A.;1;0;0;0;0
ALTEDEFA;ALTE LEIPZIGER BAUSPAR AG;1;1;0;0;0
AMPULT22;Ambr Payments UAB;1;0;0;0;0
ANCOCY2N;ANCORIA BANK LTD;1;1;0;0;0
ANDLNL2A;ANADOLUBANK NEDERLAND NV;1;0;0;0;0
ANHODE7A;BANKHAUS ANTON HAFNER KG;1;1;0;1;1
ANHODE77;BANKHAUS ANTON HAFNER KG;1;1;0;1;1
ANIEGB22;ANDARIA FINANCIAL SERVICES UK LIMIT;1;0;0;0;0
ANPRCH22;KALEIDO PRIVATBANK AG, ZUERICH;1;0;0;0;0
ANUNIE21;A.N.S.A.C. Credit Union Ltd;1;1;0;0;0
APNACHGG;ALPIAN SA;1;0;0;0;0
APSBMTMT;APS Bank;1;1;0;0;0
AQULCHZZ;AQUILA UND CO. AG;1;0;0;0;0
ARABFRPP;EUROPE ARAB BANK PLC PARIS;1;1;0;1;0
ARABGB2L;EUROPE ARAB BANK PLC LONDON;1;1;0;1;0
ARBAIT33;Banca Tirrenica;1;1;0;1;0
ARBHCH22;ALPHA RHEINTAL BANK AG;1;0;0;0;0
ARBNNL22;ACHMEA RETAIL BANK NV;1;1;0;0;0
ARBUGB2L;Arbuthnot Latham & Co Limited;1;0;0;0;0
ARCUIE21;ARDEE CREDIT UNION LIMITED;1;1;0;0;0
AREBESMM;ARESBANK S.A.;1;1;0;0;0
ARPYGB21;PRUNE PAYMENTS LTD;1;0;0;0;0
ARRUIE21;Arklow Credit Union Limited;1;1;0;0;0
ARSNNL21;ARGENTA NEDERLAND;1;0;0;0;0
ARSPBE22;ARGENTA;1;1;0;1;0
ASKSNO21;ASKIM SPAREBANK;1;0;0;0;0
ASNBNL21;ASN BANK N.V.;1;1;0;1;0
ASPKAT2L;ALLGEMEINE SPARKASSE OBEROESTERREICH BANK;1;1;0;1;0
ASRNIE21;Education Credit Union Limited;1;1;0;0;0
ATCUIE21;Le Cheile Credit Union Limited;1;1;0;0;0
ATEUIE21;People First Credit Union Limited;1;1;0;0;0
ATPIITM1;A-TONO PAYMENT INSTITUTE SPA;1;0;0;0;0
ATROIE21;St Jarlaths Credit Union Limited;1;1;0;0;0
ATRUIE21;Athenry Credit Union Limited;1;1;0;0;0
ATTIGRAA;ATTICA BANK S.A.;1;1;0;1;0
AUDFDE21;AUDI BANK ZWEIGNIEDERLASSUNG DER VOLKSWAGEN BANK GMBH;1;1;0;1;1
AUDIFRPP;BANK AUDI SARADAR FRANCE;1;1;0;0;0
AUGSDE77;STADTSPARKASSE AUGSBURG;1;1;0;1;1
AUSKDEFF;AKA AUSFUHRKREDIT-GESELLSCHAFT MBH;1;1;0;0;0
AUSNNO21;AURSKOG SPAREBANK;1;0;0;0;0
AXABBE22;AXA BANK BELGIUM;1;1;0;1;0
AXABDE3K;FNZ BANK HOF;1;0;0;0;0
AXABDE31;FNZ BANK HOF;1;1;0;0;0
AXABFRPP;AXA BANQUE;1;1;0;0;0
AXEVIT22;FABRICK SPA;1;0;0;0;0
AYCUIE21;Member First Credit Union Limited;1;0;0;0;0
AYGBESMM;A&G BANCA PRIVADA;1;1;0;0;0
AYGBESMMXXX;A G Banca Privada;1;0;0;0;0
AZZBITT1;BANCO DI CREDITO P.AZZOAGLIO S.P.A.;1;1;0;1;0
AZZBITT3;BANCO DI CREDITO P.AZZOAGLIO S.P.A.;1;1;0;1;0
BABRCHGG;BANQUE ERIC STURDZA SA;1;0;0;0;0
BACAADAD;Andorra Banc Agricol Reig S.A.;1;1;0;0;0
BACAESMM;ANDBANK ESPANA S.A.;1;1;0;0;0
BACALULL;ANDBANK LUXEMBOURG S.A.;1;0;0;0;0
BACAMCMC;ANDBANC MONACO SAM;1;1;0;0;0
BACCFR22;ONEY BANK;1;1;0;0;0
BACECH22;BANCA DEL CERESIO SA;1;0;0;0;0
BACMGB2L;BRITISH ARAB COMMERCIAL BANK;1;0;0;0;0
BACRIT21;CREDITO EMILIANO SPA;1;1;0;1;0
BACRIT22;CREDITO EMILIANO S.P.A.;1;1;0;1;0
BACXCZPP;UNICREDIT BANK CZECH REPUBLIC AND SLOVAKIA, A. S.;1;1;0;1;0
BACXHUHB;UNICREDIT BANK HUNGARY ZRT;1;1;0;1;0
BACXROBU;UNICREDIT TIRIAC BANK S A;1;1;0;1;0
BACXSI22;UNICREDIT BANKA SLOVENIJA D.D.;1;1;0;1;0
BAECIT2B;UNIPOL BANCA SPA;1;1;0;1;0
BAECIT21;UNIPOL BANCA S.P.A.;1;1;0;1;0
BAERCHZZ;BANK JULIUS BAER AND CO.LTD., ZURICH;1;0;0;0;0
BAERDEF1;BANK JULIUS BAER DEUTSCHLAND AG;1;1;0;0;0
BAERLULU;BANK JULIUS BAER LUXEMBOURG S.A.;1;0;0;0;0
BAERMCMC;BANK JULIUS BAER (MONACO) S.A.M.;1;1;0;0;0
BAFUITRR;BANCA DEL FUCINO;1;1;0;1;0
BAFUITR1;BANCA DEL FUCINO;1;1;0;1;0
BAIPPTPL;BANCO BAI EUROPA, S.A.;1;1;0;0;0
BAKOSI2X;BANKA INTESA SANPAOLO D.D.;1;1;0;1;0
BALLDK21;SPAREKASSEN BALLING;1;1;0;1;0
BALPLI22;BANK ALPINUM AG;1;0;0;0;0
BAMAIT3A;Banca Adriatica Spa;1;1;0;1;0
BAMAIT31;Banca Adriatica Spa;1;0;0;0;0
BAMEITMM;MEDIOBANCA SPA;1;1;0;1;0
BAMYFR22;BANQUE MICHEL INCHAUSPE;1;1;0;1;0
BAOSATWW;S BAUSPARKASSE;1;1;0;1;0
BAPAPTPL;BANCO PRIVADO ATLANTICO EUROPA SA;1;1;0;0;0
BAPPIT21;BANCO BPM SPA;1;1;0;1;0
BAPPIT22;Banco BPM s.p.a.;1;1;0;1;0
BAPUES22;BANCA PUEYO;1;1;0;1;0
BAPUES22XXX;Banca Pueyo;1;0;0;0;0
BARCBEBB;Barclays Bank Ireland - Belgium Branch;1;1;0;1;0
BARCCHGG;BARCLAYS BANK SUISSE SA;1;0;0;0;0
BARCDEFF;BARCLAYS BANK IRELAND - FRANKFURT BRANCH;1;1;0;1;0
BARCDEHA;BAWAG AG NIEDERLASSUNG DEUTSCHLAND;1;1;0;0;1
BARCFRPC;Barclays Bank Ireland Plc, France branch;1;1;0;1;0
BARCGB22;BARCLAYS BANK PLC;1;1;0;1;0
BARCIE2D;Barclays Bank Ireland Plc;1;1;0;1;0
BARCIE3P;PRIVATE BANK (PBOS) - BARCLAYS BANK IRELAND;1;1;0;0;0
BARCITMM;Barclays Bank Ireland, Italy Branch;1;1;0;1;0
BARCLULL;Barclays Bank Ireland - Luxembourg Branch;1;1;0;1;0
BARCMCMX;BARCLAYS WEALTH MONACO;1;1;0;0;0
BARCNL22;Barclays Bank Ireland - Netherlands Branch;1;1;0;1;0
BARCPTPC;Barclays Bank Ireland Plc, Portugal branch;1;1;0;1;0
BASECH22;BANCA DEL SEMPIONE SA;1;0;0;0;0
BASKES2B;KUTXABANK;1;1;0;1;0
BASKES2BXXX;Kutxabank;1;0;0;0;0
BASMSMSM;B.CA AGRICOLA COMMERCIALE IST BANC SAMMARINESE;1;1;0;1;0
BATIFRP1;BTP BANQUE;1;1;0;1;0
BAUMCHBB;BAUMANN & CIE BANQUIERS, BASEL;1;0;0;0;0
BAWAATWW;BAWAG PSK;1;1;0;1;0
BAWAATWWBUN;BAWAG BUND;1;0;0;0;0
BAWAIE22;MoCo Ireland;1;0;0;0;0
BAWOATW1;BAWAG Wohnbaubank;1;0;0;0;0
BAXXLT22;Finci, UAB;1;0;0;0;0
BBKRDE6B;KREISSPARKASSE BOEBLINGEN;1;1;0;1;1
BBOBCH22;BBO BANK BRIENZ OBERHASLI AG;1;0;0;0;0
BBPIPTPL;BANCO BPI SA;1;1;0;1;0
BBPPLULL;BANQUE DE PATRIMOINES PRIVES;1;0;0;0;0
BBRODK21;Bredebro Sparekasse;1;1;0;1;0
BBRUBEBB;ING BELGIUM NV-SA;1;1;0;1;0
BBRUBEBC;ING BELGIUM NV/SA;1;0;0;0;0
BBRUCHGT;ING Belgium SA;1;1;0;1;0
BBRUESMX;ING BANK NV, SPANISH BRANCH;1;1;0;1;0
BBRUPTPL;ING BELGIUM SA LISBON BRANCH PORTUGAL;1;1;0;1;0
BBSPDE6K;DEUTSCHE BAUSPARKASSE BADENIA AKTIENGESELLSCHAFT;1;1;0;0;0
BBVABEBB;BBVA BRUSSELS;1;1;0;1;0
BBVACHZZ;BBVA SUIZA SA;1;0;0;0;0
BBVADEFF;BBVA GERMANY;1;1;0;0;0
BBVAESMM;BANCO BILBAO VIZCAYA ARGENTARIA S.A.;1;1;0;1;0
