Gueltig ab / valid from 19.05.2025;;;;;;
BIC;Name;SERVICE SCT;SERVICE COR;SERVICE COR1;SERVICE B2B;SERVICE SCC
CRACIT33;BANCA CAMBIANO 1884 spa;1;1;0;1;0
CRAMCHGG;Banque Cramer & Cie SA;1;0;0;0;0
CRBAGRAA;ALPHA BANK S.A.;1;1;0;1;0
CRBRIT21;CASSA DI RISPARMIO DI BRA;1;1;0;1;0
CRBZIT2B;CASSA DI RISPARMIO DI BOLZANO SPA;1;1;0;1;0
CRDAADAD;CREDIT ANDORRA,S.A.;1;1;0;0;0
CRDRIT2F;CREDITO DI ROMAGNA;1;1;0;1;0
CREGBEBB;CBC;1;1;0;1;0
CRESCHZH;UBS AG;1;1;0;1;0
CRESCHZZ;UBS Switzerland AG (formerly Credit Suisse);1;1;0;1;0
CRESESMM;UBS AG, SUCURSAL EN ESPANA;1;1;0;0;0
CRESITMM;CREDIT SUISSE Italy;1;0;0;0;0
CREXBGSF;TOKUDA BANK BULGARIA;1;0;0;0;0
CRFEIT3F;CASSA DI RISPARMIO DI FERMO SPA;1;1;0;1;0
CRFIIT2S;CREDIT AGRICOLE ITALIA (FORMERLY CA CARISPEZIA);1;1;0;1;0
CRGEITGG;BANCA CARIGE S.P.A.;1;1;0;1;0
CRIFIT2F;CASSA DI RISPARMIO DI FOSSANO;1;1;0;1;0
CRIFIT21;CASSA DI RISPARMIO DI FOSSANO;1;1;0;1;0
CRLOIT3L;CASSA DI RISPARMIO DI LORETO;1;1;0;1;0
CRLVIT21;CREDITO LOMBARDO VENETO SPA;1;1;0;1;0
CRLYBEBB;CA CIB BELGIUM BRANCH;1;1;0;1;0
CRLYFRPP;LCL LE CREDIT LYONNAIS;1;1;0;1;0
CRLYGB2L;CREDIT AGRICOLE CIB LONDON BRANCH;1;1;0;1;0
CRLYMCM1;LCL LE CREDIT LYONNAIS MONACO;1;1;0;1;0
CRMPFRP1;CREDIT MUNICIPAL DE PARIS;1;1;0;0;0
CRNPFRP1;LA BANQUE POSTALE CREDIT ENTREPRISES;1;0;0;0;0
CROAHR2X;CROATIA BANKA D.D.;1;1;0;0;0
CRPCIT3J;Banca Teatina SpA;1;1;0;1;0
CRPPIT2P;CREDIT AGRICOLE ITALIA SPA;1;1;0;1;0
CRRAIT2R;La Cassa di Ravenna Spa;1;1;0;1;0
CRSAIT22;CASSA DI RISPARMIO DI SALUZZO;1;1;0;1;0
CRSNIT31;CREDITO SALERNITANO;1;1;0;1;0
CRTAFR21;CREATIS;1;1;0;1;0
CRUGLT21;CREDIT UNION SAULEGRAZA;1;0;0;0;0
CRUNIE21;B AND S CREDIT UNION LIMITED;1;0;0;0;0
CRVOIT3V;CASSA DI RISPARMIO DI VOLTERRA;1;1;0;1;0
CRVULT21;CORPORATE SERVICES UAB;1;0;0;0;0
CRXBMTMT;CREDORAX BANK LIMITED;1;0;0;0;0
CSCAFR21;CAISSE DE CREDIT MUNICIPAL AVI;1;1;0;0;0
CSCIIE21;Cois Sionna Desmond Credit Union Limited;1;1;0;0;0
CSDBDE71;BNP PARIBAS S.A. NIEDERLASSUNG DEUTSCHLAND;1;1;0;1;1
CSDLLT22577;LIETUVOS CENTRINIS VP DEPOZITORIUMAS;1;0;0;0;0
CSDNIE21;CROSSHAVEN CARRIGALINE CREDIT UNION LTD;1;1;0;0;0
CSDOIE21;Public Service Credit Union Limited;1;1;0;0;0
CSDUIE21;CONNEMARA CREDIT UNION LIMITED;1;0;0;0;0
CSENIE21;CASTLECOMER CREDIT UNION LIMITED;1;1;0;0;0
CSEOIE21;North Midlands Credit Union Limited;1;0;0;0;0
CSRFITR1;CASSA SOVV. RISPARMIO PERSONALE BDI;1;1;0;1;0
CSRIIE21;Castleblayney Credit Union Limited;1;1;0;0;0
CSRNIE21;FIRST CHOICE CREDIT UNION LIMITED;1;1;0;0;0
CSRUIE21;AFFINITY CREDIT UNION LIMITED;1;1;0;0;0
CSSMSMSM;CASSA RISP REBUBBLICA SAN MARINO;1;1;0;1;0
CSUKGB2L;CREDIT SUISSE UK LTD;1;0;0;0;0
CSURES2C;BBK BANK CAJASUR SAU;1;1;0;1;0
CSURES2CXXX;Cajasur Banco;1;0;0;0;0
CTASCZ22;ZALOZNA CREDITAS SPORITELNI DRUZSTVO;1;0;0;0;0
CTBKBEBX;BEOBANK NV/SA;1;1;0;1;0
CTCNIE21;Cootehill Credit Union Limited;1;1;0;0;0
CTIUPTPP;CAIXA AGRICOLA MUTUO DE TORRES VEDRAS C.R.L.;1;1;0;0;0
CTTVPTPL;BANCO CTT SA;1;1;0;0;0
CUABDED1;BANK11DIREKT GMBH;1;1;0;1;1
CUCUIE21;DUNDALK CREDIT UNION LTD;1;0;0;0;0
CUDSES22;Currencies Direct Spain EDE S.L.;1;0;0;0;0
CULTNOK1;CULTURA SPAREBANK;1;0;0;0;0
CVCUIE21;Cavan Credit Union Limited;1;1;0;0;0
CVMCBEBB;CREDIT AGRICOLE LUXEMBOURG SUCCURSALE EN BELGIQUE;1;1;0;0;0
CYDBCY2N;THE CYPRUS DEVELOPMENT BANK PUBLIC COMPANY LIMITED;1;1;0;0;0
CZNBGB2L;KOOKMIN BANK INTERNATIONAL LTD;1;0;0;0;0
DAAEDEDD;DEUTSCHE APOTHEKER- UND AERZTEBANK;1;1;0;1;1
DABADKKK;DANSKE BANK AS;1;1;0;1;0
DABAFIHH;DANSKE BANK FINLAND BRANCH;1;1;0;1;0
DABAGB2B;NORTHERN BANK LIMITED TRADING AS DANSKE BANK;1;1;0;1;0
DABAGB2L;DANSKE BANK LONDON BRANCH;1;1;0;1;0
DABAIE2D;DANSKE BANK AS;1;1;0;1;0
DABANO22;DANSKE BANK AS;1;1;0;1;0
DABAPLPW;DANSKE BANK WARSZAWA;1;0;0;0;0
DABASESX;DANSKE BANK SWEDEN BRANCH;1;1;0;1;0
DABBDEMM;BNP PARIBAS S.A. NIEDERLASSUNG DEUTSCHLAND;1;1;0;1;1
DACNIE21;St Declan's Ashbourne Credit Union Limited;1;1;0;0;0
DANBDK22;DANSKE ANDELSKASSERS BANK AS;1;1;0;1;0
DBLKFR22; DEBLOCK SAS;1;1;0;0;0
DBSALULL;UNION BANCAIRE PRIVEE (EUROPE) S.A.;1;1;0;0;0
DCRUIE21;DOUGLAS CREDIT UNION LIMITED;1;1;0;0;0
DCTTGB22;DECTA LIMITED;1;0;0;0;0
DDCIIE21;DUNBOYNE AND DISTRICT CREDIT UNION LIMITED;1;1;0;0;0
DEBKDE51;DEBEKA BAUSPARKASSE AG;1;1;0;0;0
DEEUIE21;DERG CREDIT UNION LTD;1;1;0;0;0
DEFFDEFF;C24 BANK GMBH;1;1;0;0;1
DEGRBEBB;DEGROOF;1;1;0;0;0
DEGRESBB;WEALTHPRIVAT BANK SAU;1;1;0;0;0
DEGRLULL;Degroof Petercam;1;0;0;0;0
DEGUDEFF;OLDENBURGISCHE LANDESBANK AG;1;1;0;0;1
DELBDE33;ABN AMRO BANK N.V. FRANKFURT BRANCH;1;1;0;0;1
DELEBE22;BANK DELEN;1;1;0;0;0
DELECHG2;DELEN SUISSE SA;1;0;0;0;0
DELELULL;DELEN PRIVATE BANK LUXEMBOURG S.A.;1;0;0;0;0
DELENL22;OYENS AND VAN EEGHEN PART OF DELEN PRIVATE BANK;1;0;0;0;0
DELUFR22;BANQUE DELUBAC ET CIE;1;1;0;1;0
DEMIBGSF;D Commerce Bank;1;0;0;0;0
DEMIBGSFXXX;D Commerce Bank AD;1;0;0;0;0
DENEATW1;BANKHAUS DENZEL AG;1;0;0;0;0
DEPDDEMM;VZ Deptobank Deutschland;1;1;0;0;0
DERNIE21;Cois Sionna Desmond Credit Union Limited;1;1;0;0;0
DEUTATWW;DEUTSCHE BANK AG VIENNA BRANCH;1;1;0;1;0
DEUTBEBE;DEUTSCHE BANK AG BRUSSELS BRANCH;1;1;0;1;0
DEUTCHGG;DEUTSCHE BANK SUISSE SA;1;0;0;0;0
DEUTCHZZ;DEUTSCHE BANK AG ZURICH BRANCH;1;1;0;1;0
DEUTCZPX;DEUTSCHE BANK PRAGUE BRANCH;1;1;0;1;0
DEUTDEBB;DEUTSCHE BANK AG BERLIN;1;1;0;1;1
DEUTDEBR;DEUTSCHE BANK AG ROSTOCK;1;1;0;1;1
DEUTDEDB;Deutsche Bank AG;1;1;0;1;1
DEUTDEDBPAL;Deutsche Bank AG;1;0;0;0;0
DEUTDEDD;DEUTSCHE BANK AG DUESSELDORF;1;1;0;1;1
DEUTDEDE;DEUTSCHE BANK AG ESSEN;1;1;0;1;1
DEUTDEDK;DEUTSCHE BANK AG KOELN;1;1;0;1;1
DEUTDEDW;DEUTSCHE BANK AG WUPPERTAL;1;1;0;1;1
DEUTDEFF;DEUTSCHE BANK AG;1;1;0;1;1
DEUTDEFFVAC;DEUTSCHE BANK AG;1;0;0;0;0
DEUTDEHB;DEUTSCHE BANK AG BREMEN;1;1;0;1;1
DEUTDEHH;DEUTSCHE BANK AG HAMBURG;1;1;0;1;1
DEUTDEMM;DEUTSCHE BANK AG MUENCHEN;1;1;0;1;1
DEUTDESM;DEUTSCHE BANK AG MANNHEIM;1;1;0;1;1
DEUTDESS;DEUTSCHE BANK AG STUTTGART;1;1;0;1;1
DEUTDE2H;DEUTSCHE BANK AG HANNOVER;1;1;0;1;1
DEUTDE3B;DEUTSCHE BANK AG BIELEFELD;1;1;0;1;1
DEUTDE5M;DEUTSCHE BANK AG MAINZ;1;1;0;1;1
DEUTDE5X;DEUTSCHE BANK EUROPE GMBH;1;1;0;1;0
DEUTDE6F;DEUTSCHE BANK AG FREIBURG;1;1;0;1;1
DEUTDE8C;DEUTSCHE BANK AG;1;1;0;1;1
DEUTDE8E;DEUTSCHE BANK AG ERFURT;1;1;0;1;1
DEUTDE8L;DEUTSCHE BANK AG;1;1;0;1;1
DEUTDE8M;DEUTSCHE BANK AG MAGDEBURG;1;1;0;1;1
DEUTESBB;DEUTSCHE BANK SOCIEDAD ANONIMA ESPANOLA;1;1;0;1;0
DEUTFRPP;DEUTSCHE BANK AG PARIS BRANCH;1;1;0;1;0
DEUTGB2L;DEUTSCHE BANK AG LONDON BRANCH;1;1;0;1;0
DEUTHU2B;DEUTSCHE BANK AG HUNGARY BRANCH;1;0;0;0;0
DEUTITMM;DEUTSCHE BANK SPA;1;1;0;1;0
DEUTITM1;DEUTSCHE BANK SPA;1;1;0;1;0
DEUTLULB;DEUTSCHE BANK AG LUXEMBOURG;1;0;0;0;0
DEUTLULL;DEUTSCHE BANK LUXEMBOURG SA;1;0;0;0;0
DEUTNL2A;DEUTSCHE BANK AG AMSTERDAM BRA;1;1;0;1;0
DEUTPLPX;DEUTSCHE BANK POLSKA SA;1;1;0;1;0
DEUTPTPL;DEUTSCHE BANK AG PORTUGAL BRANCH;1;1;0;1;0
DGHYDEH1;DZ HYP AG;1;1;0;0;0
DGPBDE3M;VERBUNDVOLKSBANK OWL EG;1;1;0;1;1
DGZFDEFF;DEKABANK DEUTSCHE GIROZENTRALE FRANKFURT;1;1;0;1;0
DHBNBEBB;DEMIR HALK BANK NV BELGIUM;1;1;0;0;0
DHBNDEDD;DEMIR HALK BANK NV GERMANY;1;1;0;0;0
DHBNNL2R;DEMIR HALK BANK NV;1;1;0;0;0
DIGEBEB2;Digiteal SA;1;0;0;0;0
DIRAAT2S;HELLO BANK;1;1;0;1;0
DIUALT22;DIPOCKET UAB;1;0;0;0;0
DJURDK22;DJURSLANDS BANK AS;1;1;0;1;0
DKCOGB2L;PAYDEK;1;0;0;0;0
DKCOGB2LXXX;Paydek UK E.D.E.;1;0;0;0;0
DLFGDE51;DEUTSCHE LEASING FINANCE GMBH;1;1;0;1;0
DLGHDEB1;EUROCITY BANK AG;1;0;0;0;0
DMPLGB22;MULTIPASS PLATFORMS LIMITED;1;0;0;0;0
DMVOLT22;DEMIVOLT;1;0;0;0;0
DNBADEHX;DNB BANK ASA, FILIALE DEUTSCHLAND;1;1;0;1;1
DNBADKKX;DNB BANK ASA FILIAL AF DNB BANK ASA NORGE;1;0;0;0;0
DNBAFIHX;DNB BANK ASA FILIAL FINLAND;1;0;0;0;0
DNBAGB2L;DNB BANK ASA LONDON BRANCH;1;0;0;0;0
DNBANOKK;DNB BANK ASA;1;0;0;0;0
DNBASESX;DNB BANK ASA FILIAL SVERIGE;1;0;0;0;0
DNIBBE21;NIBC BANK NV;1;0;0;0;0
DNIBNL2G;NIBC BANK NV;1;0;0;0;0
DOROIE21;ST. DOMINIC CREDIT UNION LTD.;1;1;0;0;0
DORTDE33;SPARKASSE DORTMUND;1;1;0;1;1
DORUIE21;DONORE CREDIT UNION LIMITED;1;1;0;0;0
DOSPAT2D;DORNBIRNER SPARKASSE BANK AG;1;1;0;1;0
DRAGDK21;DRAGSHOLM SPAREKASSE;1;1;0;1;0
DRANNO21;DRANGEDAL SPAREBANK;1;0;0;0;0
DRBKDEH1;START BAUSPARKASSE AG;1;0;0;0;0
DRCIIE21;DRUMSHANBO CREDIT UNION LIMITED;1;0;0;0;0
DRCUIE21;DROGHEDA CREDIT UNION LTD.;1;1;0;0;0
DRESDEFF;COMMERZBANK AG FORMERLY DRESDNER BANK AG;1;1;0;1;1
DREYCHBB;DREYFUS SONS AND CO LIMITED, BANQUIERS;1;0;0;0;0
DTABDED1;KFW;1;1;0;1;0
DTBAHUHB;MBH DUNA BANK ZRT.;1;0;0;0;0
DTCUIE21;DONEGAL TOWN CREDIT UNION LIMITED;1;1;0;0;0
DUBACHGG;DUKASCOPY BANK SA;1;0;0;0;0
DUCIIE21;DUNDALK CU;1;1;0;0;0
DUCUIE21;DUBCO CREDIT UNION LIMITED;1;1;0;0;0
DUISDE33;SPARKASSE DUISBURG;1;1;0;1;1
DURNIE21;CAIRDE CREDIT UNION;1;1;0;0;0
DURUIE21;Capital Credit Union Limited;1;1;0;0;0
DUSSDEDD;STADTSPARKASSE DUESSELDORF;1;1;0;1;1
DXMAFRPP;CAISSE FRANCAISE DE FINANCEMENT LOCAL;1;1;0;0;0
DYPYGB21;MULTIPASS PLATFORMS LIMITED;1;0;0;0;0
DYPYGB3L;Multipass Platforms Limited;1;0;0;0;0
DZBMDEF1;DZB BANK GMBH;1;1;0;1;0
EAPFESM2;EASY PAYMENT AND FINANCE EP SA;1;1;0;0;0
EAPSBGS2;Easy Payment Services Ltd.;1;0;0;0;0
EBOSPLPW;BANK OCHRONY SRODOWISKA;1;0;0;0;0
EBPBBEB1;Ebury Partners Belgium;1;0;0;0;0
EBPBESM2;EBURY PARTNERS BELGIUM,MADRID BRANCH;1;0;0;0;0
EBPBLUL2;EBURY PARTNERS BELGIUM;1;0;0;0;0
EBPBNL22;EBURY PARTNERS UK LTD;1;0;0;0;0
EBPNPTP1;EBURY PARTNERS UK LIMITED;1;0;0;0;0
EBSGDEMX;FNZ BANK SE;1;1;0;0;0
EBSIIE2DSDD;EBS LIMITED;1;1;0;0;0
EBURFRP1;Ebury Partners UK LTD;1;0;0;0;0
EBURGBA1;Ebury Partners UK LTD;1;0;0;0;0
EBURNL21;EBURY PARTNERS UK LIMITED;1;0;0;0;0
ECBKDE21;AUTO EUROPA BANK GMBH;1;1;0;1;1
ECBXCY2N;ECOMMBX LIMITED;1;0;0;0;0
ECCUIE21;First Tech Credit Union Limited;1;1;0;0;0
ECMBMTMT;ECCM BANK PLC;1;0;0;0;0
ECRDCY2L;ECREDO LIMITED;1;0;0;0;0
EDCIIE21;EMYVALE  DISTRICT CREDIT UNION LIMITED;1;1;0;0;0
EDCNIE21;CROI LAIGHEAN CREDIT UNION LIMITED;1;1;0;0;0
EDEKDEHH;EDEKABANK AG;1;1;0;1;1
EDELFRP1;BANQUE EDEL SNC;1;1;0;1;0
EDRUIE21;Ennistymon & District Credit Union Limited;1;1;0;0;0
EEKBCH22;BANK EEK;1;0;0;0;0
EEUHEE2X;AS SEB PANK;1;0;0;0;0
EFGBCHGG;E.F.G. BANK EUROPEAN FINANCIAL GROUP;1;0;0;0;0
EFGBCHZZ;EFG BANK AG;1;0;0;0;0
EFGBLI22;EFG BANK VON ERNST AG;1;0;0;0;0
EFGBLULX;EFG BANK SA;1;1;0;1;0
EFGBMCMC;EFG BANK MONACO;1;1;0;1;0
EFIBDEFF;FIB Frankfurt International Bank AG;1;0;0;0;0
EFSSITR1;ENEL X FINANCIAL SERVICES S.R.L.;1;1;0;0;0
EGNAROBX;VISTA BANK (ROMANIA) S.A.;1;0;0;0;0
EHBBAT2E;HYPO-BANK BURGENLAND AG;1;1;0;1;0
EIBCFRPP;THE EXPORT-IMPORT BANK OF CHINA, PARIS BRANCH;1;0;0;0;0
EIDSNO21;EIDSBERG SPAREBANK;1;0;0;0;0
EIHBDEHH;EUROPAEISCH-IRANISCHE HANDELSBANK AG;1;1;0;1;0
EKIICH22;BANK EKI GENOSSENSCHAFT;1;0;0;0;0
EKRDEE22;COOP PANK AS;1;0;0;0;0
EKRUCH21;ERSPARNISKASSE RUEEGGISBERG;1;0;0;0;0
ELFAFRP1;HSBC FACTORING FRANCE;1;0;0;0;0
ELFZHUHH;Elso Fedezetkezelo Zrt.;1;0;0;0;0
ELGEDES1;BANKHAUS ELLWANGER AND GEIGER AG;1;1;0;1;1
ELLFSESS;LANSFORSAKRINGAR BANK;1;0;0;0;0
EMCNIE21;PUBLIC SERVICES CREDIT UNION LIMITED;1;1;0;0;0
EMFGGB22;EMERALD FINANCIAL GROUP (UK) LTD;1;0;0;0;0
EMONMTM2;EMONEY PLC;1;0;0;0;0
ENCNIE21;Enniscorthy Credit Union Limited;1;1;0;0;0
ENCUIE21;ENFIELD CREDIT UNION LIMITED;1;1;0;0;0
ENIBBEBB;BANQUE ENI S.A;1;1;0;1;0
EPBEEE2X;EESTI PANK (BANK OF ESTONIA);1;0;0;0;0
EPBFBEBB;EPBF;1;1;0;0;0
EPSNGRA2;EVERYPAY PAYMENT SERVICES S.M.S.A.;1;0;0;0;0
ERBKCY2N;EUROBANK CYPRUS LTD;1;1;0;0;0
ERBKGRAA;EUROBANK SA;1;1;0;1;0
ERBKLULL;EUROBANK PRIVATE BANK LUX;1;0;0;0;0
ERFBDE8E;ERFURTER BANK EG;1;1;0;1;1
ERSVES22;EUROCAJARURAL;1;1;0;1;0
ERSVES22XXX;Eurocaja Rural;1;0;0;0;0
ESBCHR22;ERSTE UND STEIERMARKISCHE BANK D.D. ZAGREB;1;1;0;1;0
ESBKATWW;DENIZBANK AG;1;1;0;1;0
ESBKDEFF;DENIZBANK (WIEN) AG;1;1;0;1;1
ESCBFRPP;BANQUE D ESCOMPTE;1;1;0;1;0
ESJAISRE;ARION BANKI HF.;1;0;0;0;0
ESPBESMM;BANCO DE ESPANA;1;0;0;0;0
ESPCESMM;BANCO SANTANDER S.A.;1;1;0;1;0
ESPEITMM;BANCA ESPERIA SPA;1;1;0;1;0
ESPYBGS1;EASYPAY AD;1;0;0;0;0
ESSEDEFF;SKANDINAVISKA ENSKILDA BANKEN (PUBL) FRANKFURT BRANCH;1;1;0;1;1
ESSEDKKK;SEB COPENHAGEN;1;1;0;1;0
ESSEFIHX;SEB AB HELSINKI BRANCH;1;1;0;1;0
ESSEGB2L;SEB LONDON;1;1;0;1;0
ESSELULL;SKANDINAVISKA ENSKILDA BANKEN;1;0;0;0;0
ESSELU22;SEB AB LUXEMBOURG BRANCH;1;0;0;0;0
ESSENOKX;SEB OSLO;1;1;0;1;0
ESSENO22;SEB PIRVATBANKEN OSLO;1;0;0;0;0
ESSEPLPW;SKANDINAVISKA ENSKILDA BANKEN;1;1;0;1;0
ESSESESS;SKANDINAVISKA ENSKILDA BANKEN;1;1;0;1;0
ESSIPTPL;BANCO ESPIRITO SANTO INVESTIMENTO;1;0;0;0;0
ESSLDE66;KREISSPARKASSE ESSLINGEN-NUERTINGEN;1;1;0;1;1
ETHNCY2N;NATIONAL BANK OF GREECE (CYPRUS) LTD.;1;1;0;0;0
ETHNGB2L;NATIONAL BANK OF GREECE (LONDON);1;0;0;0;0
ETHNGRAA;NATIONAL BANK OF GREECE S.A.;1;1;0;1;0
ETICES21;BANCA POPOLARE ETICA;1;1;0;1;0
ETICES21XXX;Fiare Banca Etica S.E.;1;0;0;0;0
ETICIT22;BANCA POPOLARE ETICA SCARL;1;1;0;1;0
ETRIDE31;ETRIS BANK;1;1;0;1;0
ETSPNO21;ETNEDAL SPAREBANK;1;0;0;0;0
EUAAATWW;EUROPEAN AMERICAN INVESTMENT BANK;1;1;0;0;0
EUBACH22;BANCA ZARATTINI AND CO SA;1;0;0;0;0
EUBAITM1;CREDEM - EUROMOBILIARE PRIVATE BANKING S.P.A.;1;1;0;1;0
EUEBLT22;European Merchant Bank UAB;1;0;0;0;0
EURBBE99;EUROPABANK NV;1;1;0;1;0
EVIULT2V;Paysera LT, UAB;1;0;0;0;0
EVJENO21;EVJE OG HORNNES SPAREBANK;1;0;0;0;0
EVOBESMM;EVO BANCO, S.A.;1;1;0;1;0
EVOBESMMXXX;BANKINTER, S.A.;1;0;0;0;0
EVSEFIHH;ALISA BANK PLC;1;0;0;0;0
EXCHESMM;MACCORP EXACT CHANGE, E.P., S.A.;1;0;0;0;0
EXRRITM2;EXTRABANCA S.P.A.;1;1;0;1;0
EXSKSKBX;EXIMBANKA SR;1;0;0;0;0
EXUALT22;TT Express UAB;1;0;0;0;0
FAANDK21;FASTER ANDELSKASSE;1;1;0;1;0
FACFFRPP;FACTOFRANCE;1;0;0;0;0
FACGAT21;VB FACTORING BANK;1;1;0;1;0
FAELDKK1;ANDELSKASSEN FAELLESKASSEN;1;1;0;1;0
FAITDE66;YAPI KREDI BANK DEUTSCHLAND GMBH  UND CO. OHG;1;0;0;0;0
FANANOB1;FANA SPAREBANK;1;0;0;0;0
FARAITM1;BANCA FARMAFACTORING SPA;1;0;0;0;0
FARBIT22;BANCA CREDIFARMA;1;1;0;1;0
FASLDK21;FANOE SPAREKASSE;0;1;0;1;0
FASNESM1;BANCA FARMAFACTORING SE;1;1;0;1;0
FASNESM1XXX;BFF Bank S.E;1;0;0;0;0
FBGADEF1;FRANKFURTER BANKGESELLSCHAFT AG;1;1;0;1;1
FBGSCHZZ;FRANKFURTER BANKGESELLSCHAFT SCHWEIZ AG;1;0;0;0;0
FBHLDEFF;CREDIT EUROPE BANK N.V. NIEDERLASSUNG DEUTSCHLAND;1;1;0;0;0
FBHLMTMT;CREDIT EUROPE BANK N.V. MALTA BRANCH;1;0;0;0;0
FBHLNL2A;CREDIT EUROPE BANK N.V.;1;1;0;0;0
FCAAIT2T;FCA BANK;1;0;0;0;0
FCMFMTMT;FCM BANK LTD;1;0;0;0;0
FDBADE8F;FORD BANK GMBH;1;1;0;1;0
FDCUIE21;ST. BRIGID'S CREDIT UNION LIMITED;1;0;0;0;0
FDDDDK21;Coop Bank A/S;1;0;0;0;0
FEBIITM1;FINECOBANK SPA;1;1;0;1;0
FECNIE21;Synergy Credit Union Limited;1;1;0;0;0
FEFIFR21;FEDERAL FINANCE BANQUE;1;1;0;1;0
FEMAMTMA;Multitude Bank p.l.c.;1;1;0;0;0
FEMAMTMT;FERRATUM BANK PLC;1;0;0;0;0
FEMUFR21;BANQUE FEDERALE MUTUALISTE;1;1;0;0;0
FETALULL;RBC INVESTOR SERVICES BANK S.A.;1;0;0;0;0
FFBKDEFFKRN;FIL FONDSBANK GMBH;1;1;0;0;0
FFBKDEFFTHK;FIL FONDSBANK GMBH;1;1;0;0;0
FFCSCZP1;FAS finance company s.r.o.;1;0;0;0;0
FFSMMTM1;fexserv financial services;1;0;0;0;0
FFVBDEFF;FRANKFURTER VOLKSBANK RHEIN-MAIN EG;1;1;0;1;1
FIBKITMM;FIDEURAM INTESA SANPAOLO PRIVATE BANKING;1;1;0;1;0
FIBKLULL;FIDEURAM BANK (LUXEMBOURG) SA;1;0;0;0;0
FICUITTT;SANTANDER CONSUMER BANK SPA;1;1;0;0;0
FIDMIT3F;FINDOMESTIC BANCA S.P.A;1;1;0;1;0
FIDMIT31;FINDOMESTIC BANCA SPA;1;0;0;0;0
FIMBMTM3;FIMBANK PLC;1;0;0;0;0
FINDMTMT;Finductive Ltd;1;0;0;0;0
FINVBGSF;First Investment Bank AD;1;0;0;0;0
FINVCY2N;FIRST INVESTMENT BANK CYPRUS;1;0;0;0;0
FIOBCZPP;FIO BANKA A.S. PRAHA;1;1;0;0;0
FIOFESM1;BANCO FINANTIA SOFINLOC S.A.;1;1;0;0;0
FIOZSKBA;FIO BANKA A.S. POBOCKA BRATISLAVA;1;1;0;0;0
FIRUIE21;FINGLAS CREDIT UNION LIMITED;1;1;0;0;0
FISPLU22;FIS PRIVATBANK SA;1;0;0;0;0
FITUIE21;FIRHOUSE CREDIT UNION LIMITED;1;1;0;0;0
FJORLT21;AB Fjord Bank;1;0;0;0;0
FLEKNO21;FLEKKEFJORD SPAREBANK;1;0;0;0;0
FLEMDK21;FLEMLOESE SPAREKASSE;0;1;0;1;0
FLESDEMM;BANKHAUS MAX FLESSA KG;1;1;0;1;1
FLORNL2A;DE NEDERLANDSCHE BANK NV;1;1;0;1;0
FLORNL2AEUR;DE NEDERLANDSCHE BANK NV;1;0;0;0;0
FMBKDEMM;CACEIS BANK DEUTSCHLAND GMBH;1;1;0;0;0
FNATITRR;BANCA FINNAT EURAMERICA SPA;1;1;0;1;0
FNHOGB21;FINANCIAL HOUSE LIMITED;1;0;0;0;0
FNNBROBU;Credit Europe Bank N.V. Amsterdam Sucursala Bucuresti;1;0;0;0;0
FNOMDEB2;FINOM PAYMENTS B.V ZWEIGNIEDERLASSUNG DEUTSCHLAND;1;1;0;1;0
FNOMESM2;FINOM PAYMENTS B.V SUCURSAL ESPANA;1;1;0;0;0
FNOMFRP2;FINOM PAYMENTS B.V;1;1;0;1;0
FNOMITM2;FINOM PAYMENTS B.V SUCCURSALE ITALIANA;1;1;0;1;0
FNOMNL22;FINOM;1;1;0;1;0
FODBDE77;FNZ BANK HOF;1;1;0;0;0
FORTDEH4;OLDENBURGISCHE LANDESBANK AG;1;1;0;1;1
FORXSES1;FOREX BANK;1;0;0;0;0
FPEAPTP2;FINANCIERE DES PAIEMENTS ELECTRONIQUES PORTUGAL;1;1;0;0;0
FPEBBEB2;FINANCIERE DES PAIEMENTS ELECTRONIQUES SA BELGIUM;1;1;0;0;0
FPEGDEB2;FINANCIERE DES PAIEMENTS ELECTRONIQUES GERMANY;1;1;0;0;0
FPELFR21;FINANCIERE DES PAIEMENTS (FPE);1;1;0;0;0
FPESESM2;FINANCIERE DES PAIEMENTS ELECTRONIQUES ESPANA;1;1;0;0;0
FRAFFRPP;FRANSABANK FRANCE SA;1;1;0;0;0
FRCUIE21;ST. FRANCIS CREDIT UNION LIMITED;1;1;0;0;0
FRGGCHB1;FREIE GEMEINSCHAFTSBANK GENOSSENSCHAFT;1;0;0;0;0
FRMODK21;FROSLEV MOLLERUP SPAREKASSE;1;1;0;1;0
FRNXNL2A;FranX B.V;1;0;0;0;0
FROPDK21;FRORUP ANDELSKASSE;1;1;0;1;0
FROSDK21;FROES HERREDS SPAREKASSE;1;1;0;1;0
FRSDDEF1;FRANKFURTER SPARKASSE GF 1822DIREKT;1;1;0;1;1
FRSPDE66;SPARKASSE FREIBURG-NOERDLICHER BREISGAU;1;1;0;1;1
FSUICHGG;CREDIT EUROPE BANK (SUISSE) S.A.;1;0;0;0;0
FTBKGB2B;FIRST TRUST BANK;1;0;0;0;0
FTCSSESS;INTERGIRO INTL AB (PUBL);1;0;0;0;0
FTNOFRP1;FORTUNEO DIRECT FINANCE;1;1;0;1;0
FTSBDEFA;ABN AMRO BANK NV FRANKFURT BRANCH;1;1;0;1;0
FTSBDKKK;BNP PARIBAS S.A. DENMARK BRANCH;1;1;0;1;0
